"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0.120851938586675,0.145185734567081,0.0998791041638834,0.101017723503632,0.131017822507803,0.190568791108787,0.118942887646431,0.252290442755741,0.104164295145269,0.109500173887948
"2",0,1,0.153311910830975,0.237240411092347,0.154810725285406,0.0725354314970463,0.120851671658998,0.0482739321930595,0.0414364412119919,0.0883208766899213,0.145483776991601
"3",0,0,1,0.13973023454016,0.147668845166845,0.0990876736605795,0.126659942607303,0.11234520716292,0.0846823882449118,0.124612574807275,0.116441361486533
"4",0,0,0,1,0.157477404719281,0.0882246220584222,0.118721143119079,0.00468812189616478,0.0424372673008414,0.0910758138449182,0.262331617421134
"5",0,0,0,0,1,0.115648727386533,0.128386877613872,0.0566042023755647,0.0608839727925315,0.10712794902145,0.155241933628133
"6",0,0,0,0,0,1,0.0762854534833323,0.152743999445091,0.202412287316338,0.0999470815982255,0.0756033890721585
"7",0,0,0,0,0,0,1,0.106844806340982,0.13562742254847,0.110403655917495,0.0875533843760753
"8",0,0,0,0,0,0,0,1,0.209817800077809,0.0939398064982442,0.0408254513387549
"9",0,0,0,0,0,0,0,0,1,0.146176688921838,0.0396623022618021
"10",0,0,0,0,0,0,0,0,0,1,0.100410195174011
"11",0,0,0,0,0,0,0,0,0,0,1
