"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,-0.0778809595687298,-0.0537181175872135,-0.108971277761945,-0.105486159452761,-0.0687880960110131,-0.013442843317004,-0.0848077271201418,0.0493003851156522,-0.105053471273268,-0.106458856653728
"2",0,1,-0.0533340962216964,0.040531052565651,-0.04335700748803,-0.127905973502705,-0.0756490968607735,-0.161277698377803,-0.15410889925146,-0.111229847726153,-0.041431273016651
"3",0,0,1,-0.0710087053871565,-0.050793428591738,-0.105181297950222,-0.074544892444037,-0.0887023165155786,-0.118895719221381,-0.0858436575001008,-0.0819649034614639
"4",0,0,0,1,-0.0505492634942975,-0.117241185804812,-0.0849616471595816,-0.216266939592807,-0.162523663040087,-0.106447683644785,0.0524509946708694
"5",0,0,0,0,1,-0.0869216399992094,-0.0729715184195648,-0.154116399804269,-0.147610279746336,-0.105640702231621,-0.0501758568223049
"6",0,0,0,0,0,1,-0.120293824904565,-0.0482507648229426,-0.00950347760107845,-0.102217063506464,-0.124202926001426
"7",0,0,0,0,0,0,1,-0.094224371642965,-0.0802091465418461,-0.0977816497913014,-0.118465244408742
"8",0,0,0,0,0,0,0,1,-0.0121642821388822,-0.112191310593994,-0.158174067061165
"9",0,0,0,0,0,0,0,0,1,-0.0612058150049583,-0.168232786191222
"10",0,0,0,0,0,0,0,0,0,1,-0.107239539816218
"11",0,0,0,0,0,0,0,0,0,0,1
