"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,8248.37115770558,6199.63628801875,7729.65354077434,6412.75124227538,6157.93738660249,6395.65851537135,6397.6395581491,6192.5951282867,6464.87672276159,6363.25050603353,6211.40915796715,5826.43576664563,5687.27685326418,6425.32866311238,6311.87704988689
"2",8248.37115770558,0,8445.70129277259,8558.12152513898,8794.29656339973,8587.72638292607,8533.15642974677,9240.43675997398,11025.7793298307,8963.6811204712,8648.30187075971,8355.33138611298,8685.45215409473,8709.70602238491,7174.32561378611,8739.73722870474
"3",6199.63628801875,8445.70129277259,0,7229.42345465803,8672.86384264074,8950.82300007233,8739.88172150427,8728.43949413444,8437.51750513082,8832.05826219573,9327.59354553518,9070.18122771491,8929.59345226394,8513.64863319229,9061.83560844399,8918.06475184951
"4",7729.65354077433,8558.12152513898,7229.42345465802,0,7598.83124509522,7389.83800835914,7298.71673102391,7494.67168237209,7550.47258845922,8104.19766809344,7491.74682289235,7478.00146140996,7279.78431407563,7073.10802593417,7335.95272722725,7256.77742988901
"5",6412.75124227538,8794.29656339973,8672.86384264074,7598.83124509522,0,8825.77254848667,8754.69088335571,8678.61470980216,8403.44755812331,8786.46997542904,8562.29841330382,8310.13587013005,8711.48093914215,8955.81360594512,7666.80017464512,8709.58784671444
"6",6157.93738660249,8587.72638292607,8950.82300007233,7389.83800835914,8825.77254848667,0,8888.78254870051,8707.11327140852,8302.62572248776,8761.91157771865,8571.79765676358,8685.35090570079,8959.11561927877,8640.78770481605,9287.31447332157,8625.57961382907
"7",6395.65851537135,8533.15642974676,8739.88172150427,7298.71673102391,8754.69088335571,8888.7825487005,0,8376.71691696533,8574.85639595919,8659.16537395671,8659.62528065226,8688.27013995411,8365.34672416038,8755.71442404152,8928.79883277905,8661.90715002082
"8",6397.6395581491,9240.43675997398,8728.43949413445,7494.67168237209,8678.61470980216,8707.11327140852,8376.71691696533,0,8874.08897192477,9019.81034866872,8961.37176072999,8139.84492378399,8611.2480624795,8952.77839347778,8675.06578087918,8774.43232368432
"9",6192.59512828669,11025.7793298307,8437.51750513082,7550.47258845922,8403.44755812331,8302.62572248776,8574.85639595919,8874.08897192476,0,8620.91716778373,8779.69729167365,8288.51235020608,9463.68401431644,8795.42765686326,8548.27644917109,8786.91204663691
"10",6464.87672276159,8963.6811204712,8832.05826219573,8104.19766809344,8786.46997542904,8761.91157771865,8659.16537395671,9019.81034866872,8620.91716778373,0,8678.81787684679,8616.70157895705,8775.6338310836,9049.18665429151,8809.37804050139,8524.93679684151
"11",6363.25050603353,8648.30187075971,9327.59354553518,7491.74682289234,8562.29841330382,8571.79765676358,8659.62528065226,8961.37176072999,8779.69729167365,8678.81787684679,0,8701.27601821984,8764.94004770902,8496.92352471293,8661.49373505711,8858.65353925079
"12",6211.40915796715,8355.33138611298,9070.18122771491,7478.00146140996,8310.13587013005,8685.35090570079,8688.27013995411,8139.84492378399,8288.51235020608,8616.70157895705,8701.27601821984,0,8894.9553352363,8532.30401791877,9041.72472990274,8929.0994762736
"13",5826.43576664563,8685.45215409473,8929.59345226394,7279.78431407563,8711.48093914214,8959.11561927877,8365.34672416038,8611.2480624795,9463.68401431644,8775.6338310836,8764.94004770902,8894.9553352363,0,8520.70561354373,8696.63431536932,8670.88417100617
"14",5687.27685326418,8709.70602238491,8513.64863319229,7073.10802593417,8955.81360594512,8640.78770481605,8755.71442404152,8952.77839347778,8795.42765686326,9049.18665429151,8496.92352471293,8532.30401791876,8520.70561354373,0,8728.85271245766,8969.53632653169
"15",6425.32866311238,7174.32561378611,9061.83560844399,7335.95272722725,7666.80017464512,9287.31447332158,8928.79883277905,8675.06578087918,8548.27644917109,8809.37804050139,8661.49373505711,9041.72472990274,8696.63431536932,8728.85271245766,0,8972.36739217479
"16",6311.87704988689,8739.73722870474,8918.06475184951,7256.77742988901,8709.58784671444,8625.57961382907,8661.90715002082,8774.43232368432,8786.91204663691,8524.93679684151,8858.65353925079,8929.0994762736,8670.88417100617,8969.53632653169,8972.36739217479,0
