"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,0.417902314104198,0.816842943683354,0.140031743338286,0.0986678880168034,0.308884700891341,0.41184159666197,0.256310327031955,0.146063490080198,0.322276190769028,0.303672434218748,-0.0280018766029286,0.0229645212610635,0.114864663693026,0.0730775593519234,0.174471889034049
"2",0,1,0.0890954993732616,0.41272169811296,0.309596456116474,0.153625949721977,0.495341782845715,0.229185405733065,0.13987813868395,0.387019660722782,0.413595738747112,0.164876354525632,0.280246307374626,0.294525245517398,0.190510565437464,0.238589273746159
"3",0,0,1,0.211785421125701,0.267282715079543,0.486574695262407,0.0864967475233644,0.243523749611357,0.129176886634967,0.246412411475109,0.140057964439312,0.0296596122037683,0.0703550819204898,0.146723121387687,0.117394765546571,0.199273056665138
"4",0,0,0,1,0.0202086968871642,0.100819551151208,0.499613147307608,0.28377668144229,-0.0643173460282319,0.317390573436039,0.509805480280874,0.159845853617079,0.230390206810827,0.31831901985687,0.00836537687398508,0.500491298166621
"5",0,0,0,0,1,0.0161967455312676,0.380088640249631,0.420181165331217,0.188225041826362,0.164022573079888,0.171617139329239,0.362285232978346,0.184400164880999,0.19600562190363,0.254631443639015,0.162775488242241
"6",0,0,0,0,0,1,0.116201238422874,0.292335414068607,0.405785890800326,0.455952497528837,0.0760587864260979,0.00707225941578817,0.306225092522381,0.284363188198027,0.204342807081669,0.0284263230329747
"7",0,0,0,0,0,0,1,0.25604188116769,0.131299559440287,0.3068850914458,0.501020326149847,0.173570665854451,0.422953771725397,0.226313271782273,0.0941634605265294,0.489385218488355
"8",0,0,0,0,0,0,0,1,0.066126283002588,0.615904566393896,0.225641231148757,0.261774100800408,0.146020872077961,0.252185360858079,0.142075706942387,0.481768290518126
"9",0,0,0,0,0,0,0,0,1,0.508825372671836,0.0637434358102216,0.208891639503413,0.15829907443769,0.214490694017505,0.184623766678402,-0.0191004237311729
"10",0,0,0,0,0,0,0,0,0,1,0.217605512215639,0.157091825923855,0.234135661730445,0.206700053807742,0.189103066545772,0.241673819718618
"11",0,0,0,0,0,0,0,0,0,0,1,0.105261299655391,0.538868974098603,0.397324811669807,0.157006847653224,0.222414684786793
"12",0,0,0,0,0,0,0,0,0,0,0,1,0.231828846716666,0.14067739767653,0.216197944730254,0.315463012991901
"13",0,0,0,0,0,0,0,0,0,0,0,0,1,0.161942291700506,0.325802875316694,0.214497085262817
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.229210887877152,0.170293521765185
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.204518512830945
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
