"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,0.0935276291428073,0.648121845813515,-0.214781698371302,-0.237098253429428,-0.0411463735364993,0.0803821837080169,-0.088196732509565,-0.2641687260054,-0.0572915165787038,-0.107301928391698,-0.468400483331723,-0.335507048441399,-0.270429118058218,-0.338226661220205,-0.160929996022851
"2",0,1,-0.249895686237932,0.0219612837500469,-0.0833655415554332,-0.16285129096982,0.155033409276524,-0.108808603750347,-0.306171776564256,-0.0742748197412612,-0.0694351375275118,-0.278113914838636,-0.190118693945894,-0.176467817907462,-0.270659905454077,-0.157050099836054
"3",0,0,1,-0.142602236678404,-0.0489194980317729,0.171681029447809,-0.244175698544956,-0.0872958810480602,-0.273750701859445,-0.152585677019773,-0.290753348476316,-0.44154519316219,-0.303247317754921,-0.282172670831803,-0.33884199939102,-0.13713034477584
"4",0,0,0,1,-0.342294068459368,-0.270468813229438,0.198306402920577,-0.0626407617461002,-0.457036928269011,-0.0656200621792744,0.0573892840159368,-0.303425168966369,-0.103836762825585,-0.110579057959935,-0.480831245188986,0.0754337388768708
"5",0,0,0,0,1,-0.3093896554342,0.0676269419694123,0.0923924809888686,-0.215246690703682,-0.26696169653976,-0.260404933197528,-0.0387237421303955,-0.171418191266463,-0.212407022611756,-0.19239939437324,-0.204832324680825
"6",0,0,0,0,0,1,-0.213658195085322,-0.0981077708478777,-0.00958497188111637,0.0151730825011317,-0.336270190024462,-0.455074163641126,-0.105796322005801,-0.166120885120786,-0.243750358338111,-0.347469456189801
"7",0,0,0,0,0,0,1,-0.133463072893807,-0.280811983090284,-0.0910552962838823,0.123540074403118,-0.283066652688787,0.0670753197533571,-0.185017510182482,-0.368088796153932,0.173311569416156
"8",0,0,0,0,0,0,0,1,-0.416534874937697,0.138889339850032,-0.219599786066963,-0.152482491703585,-0.220836472193589,-0.16908632143109,-0.27745146639047,0.0403578507470013
"9",0,0,0,0,0,0,0,0,1,-0.0555713784370977,-0.38324931423772,-0.244788677403181,-0.332849038638794,-0.228776843461481,-0.293956467824968,-0.503303326867407
"10",0,0,0,0,0,0,0,0,0,1,-0.241178783200594,-0.290820689420552,-0.343660686653941,-0.223786480512075,-0.297049313278831,-0.151623879551069
"11",0,0,0,0,0,0,0,0,0,0,1,-0.360344336913531,-0.111943348867118,-0.0666595287674841,-0.332359853932113,-0.264453322155086
"12",0,0,0,0,0,0,0,0,0,0,0,1,-0.20934791781969,-0.295320533377141,-0.23669607796505,-0.101421238898971
"13",0,0,0,0,0,0,0,0,0,0,0,0,1,-0.259848386710296,-0.164464003953114,-0.126575140648093
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.209439812738699,-0.277130507475693
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.219899122776329
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
