"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,0.20156820355353,0.776325682496193,-0.129900494309669,0.163759531801521,0.403291383082053,0.44685986795242,0.110946871670368,0.0547898431996011,0.0944330626563211,-0.0930373204304656,-0.204314597132631,-0.142775540632785,-0.0892485444893114,-0.17318958683043,0.163618711886799
"2",0,1,-0.0200327424673073,0.26893310199643,0.209313391291854,0.102951020897766,0.514246032733742,0.0327072434710527,0.0702350512549568,0.156903088400206,0.306937225537523,-0.106202971627107,0.0696847468059908,0.111803054559948,-0.120973229514273,0.233872158078645
"3",0,0,1,0.00102084488158442,0.133008232096795,0.572289711188998,0.0905457876317028,0.0689408662190011,-0.158658605919878,0.187458522154648,-0.0704489990218133,-0.187044472466096,-0.196603436092317,-0.0800791066110356,-0.140458092452576,0.196494998230083
"4",0,0,0,1,0.127848226033927,0.141313338970735,0.177089963848227,-0.0453799554156813,-0.25265977116197,0.168344239159919,0.221405108097072,-0.0671220946107372,-0.031526163225781,0.0246643356094073,-0.139835150291871,0.82110871596529
"5",0,0,0,0,1,0.184100618287117,0.350655685495246,0.322774880861579,-0.263658396495113,-0.0122989303011639,0.106618539634697,0.0497585742248498,-0.0863685033946714,0.0261741487609495,0.149288003906776,0.298768944661236
"6",0,0,0,0,0,1,0.262800976545608,0.100164431266131,0.113234795869333,0.319199268817731,-0.0627768325769754,-0.240019284143947,0.0958399413061315,-0.0312842896484087,-0.0641762381648961,0.0810275853876143
"7",0,0,0,0,0,0,1,0.253619552234016,-0.0264305179793655,0.0966577858237613,0.143420703529117,-0.109356858298761,0.0508356755192925,-0.00662546017667927,-0.26068156466198,0.0872550804500105
"8",0,0,0,0,0,0,0,1,0.112711619429202,0.336097433366678,0.0512672903166981,0.0472373152699278,0.0419414253127332,0.0331000158731687,-0.0881957405202381,-0.0225575601498188
"9",0,0,0,0,0,0,0,0,1,0.604178915466423,-0.196092541279919,-0.0294171182815456,-0.0955944432491774,0.00684223940487184,-0.0545878291535108,-0.190959320000527
"10",0,0,0,0,0,0,0,0,0,1,-0.0290451850131233,-0.0447716332924438,-0.0173902242243059,-0.0100480697277408,-0.142552167274957,0.0693012483486506
"11",0,0,0,0,0,0,0,0,0,0,1,-0.104417960375761,0.0114852159334854,0.205491602376407,-0.0602764610136839,0.101367414786935
"12",0,0,0,0,0,0,0,0,0,0,0,1,-0.058997181808173,-0.0723933881686725,0.00435129572184619,-0.0731057697828043
"13",0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0379073779681209,0.0664611974370675,-0.196500856094196
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0281310654353612,0.0107491369969271
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0777108788433068
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
