"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,0.0153430074281259,0.70858745208776,-0.288818624754215,-0.0225220205104317,0.258229576051738,0.306984388979448,-0.0803485020321421,-0.126526650929196,-0.0937212515416445,-0.304246485507858,-0.429119745955486,-0.313073553888108,-0.286631927629686,-0.342458629218078,0.0041880650761917
"2",0,1,-0.213104520619938,0.0603903565587489,0.0197829002311392,-0.114716900814409,0.331067452111224,-0.187503153309985,-0.189716067739788,-0.0561285299255826,0.0772685453953902,-0.306177456996646,-0.155099655272325,-0.153133024911174,-0.350284077378355,-0.000448053216215182
"3",0,0,1,-0.158822132226148,-0.0570404565145266,0.421825613429008,-0.0733615103542499,-0.125094795001394,-0.315888668456814,0.00848739721304556,-0.277497538302264,-0.428792560015728,-0.332763124949655,-0.28069414436473,-0.307329851582428,0.0714051880223502
"4",0,0,0,1,-0.0833503656861001,-0.0231909991063817,0.00986248684962926,-0.258306014338102,-0.416754873341324,0.018941333100968,0.00936965223399312,-0.261922633765145,-0.216141172136366,-0.1581006195839,-0.332511998639083,0.747051572017236
"5",0,0,0,0,1,0.00155931828798967,0.132185912737805,0.138908929240091,-0.415913876241232,-0.173471465630842,-0.122340312304922,-0.155646140959107,-0.267692209553786,-0.150196238793996,-0.0648122276387337,0.109524542086386
"6",0,0,0,0,0,1,0.122282130432877,-0.118993158570726,-0.0350066269000759,0.138048796320187,-0.314895625251161,-0.449317310963558,-0.0750585127028324,-0.243871041173287,-0.247208925859272,-0.0829463561901788
"7",0,0,0,0,0,0,1,0.0549145749660148,-0.223701999246808,-0.106063608388348,-0.0700924254657632,-0.325750794754642,-0.148654600493109,-0.223695209737904,-0.42812497715058,-0.0864243745656935
"8",0,0,0,0,0,0,0,1,-0.225965296477033,0.135737878313444,-0.134933488642495,-0.182200132465461,-0.189087958477271,-0.197264279485731,-0.291688229071049,-0.240851268894764
"9",0,0,0,0,0,0,0,0,1,0.114830430213134,-0.415778379182335,-0.219930047322559,-0.247140403967085,-0.145711645084146,-0.24741141580492,-0.347750772980572
"10",0,0,0,0,0,0,0,0,0,1,-0.25383383445213,-0.23571831184569,-0.184839638396197,-0.195982519958763,-0.333416369092411,-0.0937619911591002
"11",0,0,0,0,0,0,0,0,0,0,1,-0.324141552851413,-0.220520567574212,-0.0228430995350232,-0.295709624421406,-0.115965330279498
"12",0,0,0,0,0,0,0,0,0,0,0,1,-0.273311906978119,-0.272970012998401,-0.215048228368285,-0.273340625968961
"13",0,0,0,0,0,0,0,0,0,0,0,0,1,-0.21585214290557,-0.167877564041039,-0.394452911311213
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.200431908461505,-0.190458534314853
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.297758549541165
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
