"","V1","V2"
"1",8.97883151921173,0
"2",5836.44482222887,6443.39147825754
"3",5816.0837568367,5717.24976539706
"4",5936.2523621226,5810.16792187911
"5",5663.23517195471,5814.65024793289
"6",5732.89256258781,5550.07333963618
"7",5270.47193740269,5453.84453490241
"8",6008.85728436261,5948.93920929896
"9",5701.7447329851,5666.52082477154
"10",5707.44393827044,5918.77704569528
"11",5879.61493249438,5923.78949626523
"12",5608.22194881568,5699.51799265327
"13",5790.22551856208,5760.44869340531
"14",5807.91663249306,5675.18543170149
"15",6197.34641472399,5807.70119147593
"16",6085.84052722204,5881.71810547159
