"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,0.0525753109820436,0.0506642581257699,0.0548682384507755,0.0540409387390944,0.0522328833273213,0.0525619238082908,0.0526573747198743,0.0532414843103923,0.0542171231649219,0.0540604759926272
"2",0,0,0.0528977135725116,0.0510401775302978,0.0511328157343153,0.0511238558591147,0.0500893813781848,0.0536419583443337,0.0520298169443928,0.0515876205791083,0.0497617092782896
"3",0,0,0,0.0525568062995732,0.0522435173128754,0.0525771236842868,0.0509221095190705,0.0517266193632196,0.0519171154973468,0.0530169328339646,0.0510568357136803
"4",0,0,0,0,0.0544973541262065,0.0534117178923504,0.0512263362318702,0.054583322902314,0.0530748885556978,0.0520771234521919,0.0535228321652726
"5",0,0,0,0,0,0.0528498683023384,0.0523748175776589,0.0544742730523649,0.0539608208031689,0.0546977374757653,0.0535559220966906
"6",0,0,0,0,0,0,0.0512792462478641,0.0504196689415479,0.0546420679296366,0.0508717186287989,0.0518418343612375
"7",0,0,0,0,0,0,0,0.0520283761580889,0.0542615890119911,0.0522677935037866,0.0531219425736654
"8",0,0,0,0,0,0,0,0,0.0560839088950424,0.0529264910345623,0.0515975582963636
"9",0,0,0,0,0,0,0,0,0,0.054438113091377,0.0527769187422714
"10",0,0,0,0,0,0,0,0,0,0,0.0517939264486456
"11",0,0,0,0,0,0,0,0,0,0,0
