"","Crinia.sig","Lim.dumer","Lim.peron","Lim.tas","Para.has","Lit.ewing","Lit.verr","Lit.peron","Lit.rani"
"Crinia.sig",1,0.165481492511818,0.196084787086703,0.0453531988663195,0.221338810804235,0.256562841196393,0.312692972095681,0.201555462137697,-0.111452648081745
"Lim.dumer",0.165481492511818,1,0.20120941855022,0.0984030946482291,0.305632687132077,0.32878924147522,0.322775497041426,0.192887438675274,-0.147804726465887
"Lim.peron",0.196084787086703,0.20120941855022,1,0.088569383816947,0.172159231758078,0.226545780272007,0.319610767761549,0.216976541836016,-0.0603957306354486
"Lim.tas",0.0453531988663195,0.0984030946482291,0.088569383816947,1,0.0659635994635406,-0.0553075045771299,0.0216405544381932,-0.00668552165585475,-0.0158831534974945
"Para.has",0.221338810804235,0.305632687132077,0.172159231758078,0.0659635994635406,1,0.286585436045576,0.283910299190921,0.20190956491331,-0.122855052668851
"Lit.ewing",0.256562841196393,0.32878924147522,0.226545780272007,-0.0553075045771299,0.286585436045576,1,0.44216276868209,0.26597398868271,-0.176516037892713
"Lit.verr",0.312692972095681,0.322775497041426,0.319610767761549,0.0216405544381932,0.283910299190921,0.44216276868209,1,0.30511958736891,-0.155690284186002
"Lit.peron",0.201555462137697,0.192887438675274,0.216976541836016,-0.00668552165585475,0.20190956491331,0.26597398868271,0.30511958736891,1,-0.109952180169711
"Lit.rani",-0.111452648081745,-0.147804726465887,-0.0603957306354486,-0.0158831534974945,-0.122855052668851,-0.176516037892713,-0.155690284186002,-0.109952180169711,1
