"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1,-0.237177770618198,-0.0848751045212764,-0.153122312734694,-0.273278526705068,-0.135170739357633,-0.103624936630966,-0.179030431638777,-0.161444799056822,-0.251534560825135,-0.149208151792562,-0.154188594684741
"2",0,1,-0.299323852836473,-0.145819636184594,0.179860264897328,-0.263644176735355,-0.119539482165515,-0.16993336125481,-0.107647887031491,-0.166456494301114,-0.17387604310661,-0.144874373203244
"3",0,0,1,-0.19706952823698,-0.203722625982181,-0.191547514835945,-0.157805481591449,-0.235461532045814,-0.153167491544494,-0.403113865688893,-0.11614604953914,-0.350128038876479
"4",0,0,0,1,-0.150741638506499,-0.0524921377171971,-0.27410716127551,-0.222063260904302,-0.221733297358297,-0.108726710238911,-0.156994459780473,-0.219390550530056
"5",0,0,0,0,1,-0.243214223835885,-0.173598223866219,-0.161120111911288,-0.0750410880131362,-0.271095152941986,-0.164207079659335,-0.0914845530105789
"6",0,0,0,0,0,1,-0.257403378686628,-0.134713903833398,-0.266684260331973,-0.0850038307262928,-0.185189764451914,-0.135097710692615
"7",0,0,0,0,0,0,1,-0.161798675693895,-0.158253474594491,-0.229727102987319,0.0212962298891968,-0.103184506427014
"8",0,0,0,0,0,0,0,1,-0.141680212024325,-0.110391891414059,-0.0108181890555125,-0.198472607354199
"9",0,0,0,0,0,0,0,0,1,-0.171434258530223,-0.251829533975698,-0.00420580630794622
"10",0,0,0,0,0,0,0,0,0,1,-0.128757386089384,-0.128061158226398
"11",0,0,0,0,0,0,0,0,0,0,1,-0.288279293383998
"12",0,0,0,0,0,0,0,0,0,0,0,1
