"","Crinia.sig","Lim.dumer","Lim.peron","Lim.tas","Para.has","Lit.ewing","Lit.verr","Lit.peron","Lit.rani"
"Crinia.sig",1,0.632720227112758,0.760192184142699,0.353073373020619,0.787011928455011,0.82980117684242,0.866631097802527,0.836974593075089,0.372964720578348
"Lim.dumer",0.632720227112758,1,0.630567796408333,0.560558950459659,0.836895330666437,0.817080246504084,0.780439328120727,0.813166725736382,0.266775926712305
"Lim.peron",0.760192184142698,0.630567796408334,1,0.623904071072217,0.677261907497784,0.610026609806461,0.806549277488338,0.90705091992041,0.583704307275619
"Lim.tas",0.353073373020618,0.560558950459659,0.623904071072216,1,0.395844017841154,0.243308876928951,0.332010402593746,0.506162689920947,0.657653854422031
"Para.has",0.787011928455012,0.836895330666437,0.677261907497784,0.395844017841154,1,0.865741906050297,0.8099768188083,0.838812624051838,0.334993728914877
"Lit.ewing",0.82980117684242,0.817080246504084,0.610026609806461,0.243308876928951,0.865741906050297,1,0.950763767159658,0.941680637021431,0.137857935414149
"Lit.verr",0.866631097802527,0.780439328120726,0.806549277488338,0.332010402593746,0.8099768188083,0.950763767159658,1,0.94620669735308,0.271440498642788
"Lit.peron",0.836974593075089,0.813166725736382,0.90705091992041,0.506162689920947,0.838812624051837,0.941680637021431,0.94620669735308,1,0.437953327861761
"Lit.rani",0.372964720578345,0.266775926712305,0.583704307275619,0.657653854422031,0.334993728914876,0.137857935414149,0.271440498642788,0.437953327861762,1
