"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1,-0.0920691163507833,0.0608993285362553,-0.0161328663895561,-0.139141495922715,0.00360314143865901,0.036532159482104,-0.0492324176364223,-0.0330773124481805,-0.121125946996399,-0.017021061144595,-0.0249922271046547
"2",0,1,-0.164487714808508,-0.00898529321758878,0.322920756800874,-0.132245486021031,0.0163503869915276,-0.0287884437470505,0.0293208681155117,-0.0335861345919101,-0.0379661851930956,-0.00455698220471381
"3",0,0,1,-0.0667166635584999,-0.0662930804038659,-0.0528031185865026,-0.0228696249691864,-0.107474948408968,-0.0114572093006152,-0.281923144117557,0.024249263014926,-0.222859168052326
"4",0,0,0,1,-0.0185507103718135,0.0919030443645033,-0.143486551541448,-0.088499430567772,-0.0842953508374299,0.0187110257373724,-0.0187737740455408,-0.0822370054923997
"5",0,0,0,0,1,-0.112645903915312,-0.0363286785135913,-0.0264629361979468,0.0540431423587874,-0.134143071406734,-0.0221931367653112,0.0421909687774326
"6",0,0,0,0,0,1,-0.112761268936343,-0.00243154769184545,-0.131622184028919,0.0407299112735249,-0.0435410568305636,-0.000982409725127672
"7",0,0,0,0,0,0,1,-0.0322125046409199,-0.0242573551408529,-0.10093380428339,0.166956594150933,0.0327382963584712
"8",0,0,0,0,0,0,0,1,-0.00301843137498153,0.0218063391680452,0.122943851490593,-0.0608880448990373
"9",0,0,0,0,0,0,0,0,1,-0.0436638063055967,-0.111731540042895,0.140128653966317
"10",0,0,0,0,0,0,0,0,0,1,-0.00410087572311282,0.00333061549540864
"11",0,0,0,0,0,0,0,0,0,0,1,-0.166614537452468
"12",0,0,0,0,0,0,0,0,0,0,0,1
