"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0.0229884372262661,0.0464863427266775,-0.00527044774359027,-0.00405340520076268,0.0302084839497429,0.0884960278775506,0.017513003317406,0.151926204673903,-0.000147729255385785,-0.00150899852966743
"2",0,1,0.0479969301421121,0.139842675688077,0.056674481051253,-0.0240531208163746,0.0256215087158096,-0.0563426025780553,-0.0575224977386723,-0.0136239556755871,0.050807567510986
"3",0,0,1,0.0385647918104131,0.0459139327044701,-0.00325879625035685,0.0263718941874252,0.00514367403540456,-0.0145013276226973,0.0213959654919642,0.0165268592028747
"4",0,0,0,1,0.050696331930241,-0.019486158888967,0.0124418839530452,-0.106089296312116,-0.0631860648421553,-0.00837382380494745,0.158457383847697
"5",0,0,0,0,1,0.0121478231470375,0.0279987023360922,-0.0460496837593407,-0.0471215574893601,0.00192352957807372,0.0564713598192774
"6",0,0,0,0,0,1,-0.0186797915082304,0.0521382842036912,0.0967977901259539,-0.00133696354416425,-0.0243777066300385
"7",0,0,0,0,0,0,1,0.00663545073522877,0.028792729859851,0.00839926138438947,-0.0171621539828376
"8",0,0,0,0,0,0,0,1,0.100982715500687,-0.0138146170337872,-0.0594719340866401
"9",0,0,0,0,0,0,0,0,1,0.0395734607406561,-0.0657136171311481
"10",0,0,0,0,0,0,0,0,0,1,-0.00719075575926882
"11",0,0,0,0,0,0,0,0,0,0,1
