"","Crinia.sig","Lim.dumer","Lim.peron","Lim.tas","Para.has","Lit.ewing","Lit.verr","Lit.peron","Lit.rani"
"Crinia.sig",1,-0.17086483920903,-0.118833281036977,-0.284566278011832,-0.129283757584899,-0.0724467894266527,-0.0307993747885599,-0.194107096325806,-0.438489528154571
"Lim.dumer",-0.17086483920903,1,-0.0890464900666788,-0.226160973104878,-0.010850239792081,0.00927037140512799,0.0437386338718388,-0.19820965001443,-0.496354020966674
"Lim.peron",-0.118833281036977,-0.0890464900666788,1,-0.247320548365085,-0.146446578704201,-0.04914379827615,0.0191019354953677,-0.146888759212145,-0.4266192813401
"Lim.tas",-0.284566278011832,-0.226160973104878,-0.247320548365085,1,-0.24373180893473,-0.355246293215093,-0.291134212263472,-0.356554538711252,-0.373028896839398
"Para.has",-0.129283757584899,-0.010850239792081,-0.146446578704201,-0.24373180893473,1,-0.0079760737319402,0.00355522711106381,-0.152699196351053,-0.474375178136616
"Lit.ewing",-0.0724467894266527,0.00927037140512799,-0.04914379827615,-0.355246293215093,-0.0079760737319402,1,0.164934502886618,-0.139008991611785,-0.52375120009585
"Lit.verr",-0.0307993747885599,0.0437386338718388,0.0191019354953677,-0.291134212263472,0.00355522711106381,0.164934502886618,1,-0.112706841454108,-0.5169591651767
"Lit.peron",-0.194107096325806,-0.19820965001443,-0.146888759212145,-0.356554538711252,-0.152699196351053,-0.139008991611785,-0.112706841454108,1,-0.504887825196537
"Lit.rani",-0.438489528154571,-0.496354020966674,-0.4266192813401,-0.373028896839398,-0.474375178136616,-0.52375120009585,-0.5169591651767,-0.504887825196537,1
