"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1,0.0381372660092683,0.204071005510543,0.117338411589724,0.00309612659840819,0.139871332711951,0.173539648129348,0.0948019018783919,0.109715439262572,0.00637787833228801,0.118969538962203,0.110330810241137
"2",0,1,-0.0278512233054292,0.12388978908999,0.463649221246778,-0.000453432028883679,0.147048546942454,0.111431275646076,0.160173104813189,0.0989357971622666,0.0972779434419464,0.141801129151418
"3",0,0,1,0.0752076905234519,0.0779484622058298,0.088350628626304,0.109735015072703,0.0218884993956746,0.125386725174355,-0.154002615948796,0.153771212900898,-0.091887736602504
"4",0,0,0,1,0.121834196969206,0.21581264911768,-0.00121441111566023,0.0436351856952293,0.0619214719589285,0.152023898780289,0.116457274158899,0.063729322243979
"5",0,0,0,0,1,0.017022098700329,0.104247515112991,0.11371456007381,0.18251044432328,0.00875587563387534,0.110776486392944,0.17790744216949
"6",0,0,0,0,0,1,0.0252941520179226,0.137942056061548,0.00430766370584738,0.182170845031375,0.103227389878101,0.124826356651701
"7",0,0,0,0,0,0,1,0.10902621296756,0.116792079743448,0.0270160725192714,0.305425284172296,0.171894851551659
"8",0,0,0,0,0,0,0,1,0.137959336837148,0.150740000226823,0.250940928385427,0.0742782586920882
"9",0,0,0,0,0,0,0,0,1,0.0826638075257297,0.0336911040715448,0.281497997975016
"10",0,0,0,0,0,0,0,0,0,1,0.121384689417792,0.138805332383166
"11",0,0,0,0,0,0,0,0,0,0,1,-0.020801050129919
"12",0,0,0,0,0,0,0,0,0,0,0,1
