x,y
191.5561466,59.87632894
191.546597,59.84163048
191.3420598,59.84279505
191.2939113,59.57973784
191.6691824,59.79504817
191.3500572,59.75231626
191.5139341,59.96577759
191.536207,59.91487517
191.4034501,59.6752181
191.34033,59.61488445
191.4895127,59.96931173
191.5665919,59.93340971
191.3172802,59.70995705
191.3854315,59.50582162
191.2738949,59.73507416
191.2630262,59.54440069
191.5659461,59.92475019
191.383175,59.51651906
191.652078,59.82450366
191.514317,59.86550306
191.2897038,59.68200819
191.3079737,59.63850139
191.3395389,59.6531077
191.4141657,59.78346224
191.3918859,59.92743346
191.3180217,59.55093649
191.3444395,59.82372233
191.4100259,59.53570334
191.3614106,59.61684684
191.3784451,59.74126921
191.3733179,59.85695716
191.2434576,59.63673124
191.3965806,59.6753575
191.6442928,59.8779143
191.452269,59.96429588
191.4030038,59.48098742
191.4154125,59.48326914
191.4221104,59.48449471
191.3003382,59.80499548
191.5840883,59.97814876
191.3461894,59.64276728
191.5672598,59.9375044
191.6404693,59.9993116
191.3734773,59.82792328
191.4201104,59.84555811
191.2793899,59.51606121
191.5745806,59.91129727
191.4116611,59.56121013
191.5091312,59.96580661
191.3652335,59.91026834
191.3486902,59.61558372
191.6330817,59.80774641
191.4410034,59.89876819
191.2920441,59.67149153
191.2301457,59.54167998
191.3791114,59.91847671
191.656207,59.84908251
198.3706752,56.21371268
198.320117,56.14058279
198.601498,55.87931982
198.592749,55.86071701
198.2962214,56.17653437
198.5000139,55.99068238
198.6043093,55.88404663
198.4321662,56.07603615
198.4955945,55.92271385
198.3804801,55.92796664
198.4318035,56.04168337
198.5200101,56.09697525
198.5218258,56.09223902
198.3922891,56.08979271
198.432796,56.07558942
198.5911236,55.85835553
198.3425666,56.2019278
198.4330125,56.0737046
198.4769421,56.03445594
198.5230011,56.09150338
198.5502083,55.8627299
198.6206842,55.91993271
198.5284946,55.8632047
198.3874441,56.10049595
198.5370906,56.0102015
198.3760964,55.93256908
198.4912455,56.0280203
198.4813371,55.9597643
198.4383241,56.0212101
198.3042076,56.18315083
198.4380522,55.94712173
198.6073281,55.88912557
198.5132674,55.91894083
198.4453182,56.03347243
198.5322779,55.92039921
198.5438607,55.91394733
198.5202677,56.09753753
198.4327897,56.06377436
198.5215004,55.86340292
198.520559,56.09632393
198.4404341,56.02348545
198.5556605,55.86148755
198.5220356,56.09115125
198.4978993,55.92045914
198.484428,55.8825629
198.368991,55.93888496
198.565391,56.05450365
198.5897697,55.96669656
198.6043967,56.05588409
198.6194255,55.91334452
198.3872192,55.92292157
199.0206305,56.21441242
199.2953471,56.15716287
199.1091476,56.31894808
199.0317589,55.96783417
199.1495604,55.94312675
199.1718077,56.01477118
199.0586247,56.01837206
198.9289139,56.0226138
198.9479416,56.08078282
199.0195747,55.97262652
198.9633235,55.97043076
198.951556,55.96663863
199.1656229,55.95567726
199.1822947,55.97085183
199.1405879,55.99993567
199.0673475,55.96573401
199.1521347,55.99988839
198.9847586,56.2328547
199.0979341,56.29653523
199.1117378,55.95600975
199.1287634,56.01722825
199.0868477,56.08611533
198.9383729,55.98559855
199.2960186,56.15639613
199.2376047,56.15697243
199.2406822,56.15158994
198.9954489,56.18924258
199.1867404,55.97488516
199.0909018,56.00430854
199.1220784,56.21262676
198.930017,56.02221397
199.06274,55.96163446
199.0571081,56.03090643
199.1594709,56.08723516
199.1108776,55.99966543
199.2566281,56.13610836
199.1156944,56.23684082
199.0979337,56.00402693
199.1217493,56.19753678
198.970113,56.32247456
199.20724,56.04477554
199.2633263,56.12765038
199.1288783,56.15131335
199.1126244,56.26559883
198.9578152,56.10472829
199.1093052,56.31941648
198.9135327,56.03387956
199.1192322,55.99805816
198.9676996,56.2311272
199.2145218,56.04718579
199.1305727,56.14126121
198.9531672,56.30249497
199.1632622,55.95354674
199.0051893,56.14419301
199.2263659,56.17663551
199.1219853,56.21437208
199.1314392,56.13813192
199.1112275,56.13809544
199.0391913,55.96666001
